cod_ibge;municipio;uf;local_mapa;latitude;longitude;acessos;share_regional;share_grande;delta_regional_pp;lider;share_lider;n_prestadoras;dens_100hab
1100809;Candeias do Jamari;RO;Candeias do Jamari, RO, Brasil;-8,7907;-63,7005;4133,0;80,0;0,6;66,7;Candeias Net Telecom;50,1;20;16,9
1100908;Castanheiras;RO;Castanheiras, RO, Brasil;-11,4253;-61,9482;1430,0;97,6;0,3;46,1;Uni Telecom;58,3;10;41,5
1100056;Cerejeiras;RO;Cerejeiras, RO, Brasil;-13,187;-60,8168;2426,0;92,9;1,1;45,8;Cpw Internet;70,8;14;14,3
1100924;Chupinguaia;RO;Chupinguaia, RO, Brasil;-12,5611;-60,8877;402,0;30,6;5,0;30,6;Starlink;60,0;9;3,9
1100064;Colorado do Oeste;RO;Colorado do Oeste, RO, Brasil;-13,1174;-60,5454;5543,0;97,3;0,4;42,1;Cpw Internet;61,0;13;33,7
1100072;Corumbiara;RO;Corumbiara, RO, Brasil;-12,9551;-60,8947;1910,0;92,3;1,1;52,7;Cpw Internet;88,8;10;24,1
1100080;Costa Marques;RO;Costa Marques, RO, Brasil;-12,4367;-64,228;2392,0;88,0;0,6;5,4;Rolim Net;55,4;12;17,7
1100940;Cujubim;RO;Cujubim, RO, Brasil;-9,36065;-62,5846;3395,0;92,1;0,5;38,4;Uni Telecom;39,1;11;21,4
1100098;Espigão D'Oeste;RO;Espigão D'Oeste, RO, Brasil;-11,5266;-61,0252;4278,0;93,6;0,6;53,8;Comandos Informática;33,4;12;13,0
1101005;Governador Jorge Teixeira;RO;Governador Jorge Teixeira, RO, Brasil;-10,61;-62,7371;1146,0;90,3;0,8;90,3;Atual Telecom;61,3;12;13,9
1100106;Guajará-Mirim;RO;Guajará-Mirim, RO, Brasil;-10,7889;-65,3296;9358,0;90,9;0,7;76,2;Rolim Net;44,0;24;21,4
1101104;Itapuã do Oeste;RO;Itapuã do Oeste, RO, Brasil;-9,19687;-63,1809;1967,0;82,5;0,8;77,7;Brasil Digital Telecom;73,8;9;21,3
1100114;Jaru;RO;Jaru, RO, Brasil;-10,4318;-62,4788;20103,0;90,0;8,1;58,3;Uni Telecom;68,4;25;36,0
1100122;Ji-Paraná;RO;Ji-Paraná, RO, Brasil;-10,8777;-61,9322;51874,0;79,5;19,5;20,0;Uni Telecom;62,8;40;36,8
1100130;Machadinho D'Oeste;RO;Machadinho D'Oeste, RO, Brasil;-9,44363;-61,9818;10940,0;94,0;0,2;29,6;Uni Telecom;78,8;11;32,0
1101203;Ministro Andreazza;RO;Ministro Andreazza, RO, Brasil;-11,196;-61,5174;2297,0;98,2;0,6;67,1;W F Informatica;82,7;11;36,0
1101302;Mirante da Serra;RO;Mirante da Serra, RO, Brasil;-11,029;-62,6696;3633,0;99,1;0,4;80,9;Gigacom;30,2;12;37,9
1101401;Monte Negro;RO;Monte Negro, RO, Brasil;-10,2458;-63,29;2589,0;90,1;0,7;89,4;Rolim Net;61,7;13;21,4
1100148;Nova Brasilândia D'Oeste;RO;Nova Brasilândia D'Oeste, RO, Brasil;-11,7247;-62,3127;10255,0;99,2;0,2;9,8;Uni Telecom;87,5;11;63,1
